District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yau Tsim Mong,2W Sai Yeung Choi Street South 101肉燥飯專門店 (non-residential),02/09/2020,4841
Wong Tai Sin,Suet Fung House (non-residential),02/09/2020,"4853, 4869"
Yuen Long,Kam Bo Building Ming Chuan Noodle Hut (non-residential),02/09/2020,4858
Yuen Long,Pau Cheung Square (non-residential),02/09/2020,4858
Kwun Tong,Ngau Tau Kok Municipal Services Building (non-residential),03/09/2020,"1853, 2578, 2666, 3214, 3199, 3399, 3814, 3972, 4595, 4814, 4885"
North,Wah Sum Shopping Centre (non-residential),03/09/2020,4851
Kowloon City,3 Hok Ling Street Pak Mei Kai Fast Food (non-residential),03/09/2020,4853
Kowloon City,6 Shim Luen Street (non-residential),03/09/2020,4853
Kowloon City,10 Nga Tsin Long Road (non-residential),03/09/2020,4855
Kowloon City,23 South Wall Road (non-residential),03/09/2020,4855
Kowloon City,28 Nga Tsin Long Road 昌記新城茶餐廳 (non-residential),03/09/2020,4855
Kwun Tong,Chevalier Commercial Centre (non-residential),03/09/2020,4855
Kowloon City,Genius Court (non-residential),03/09/2020,4855
Wong Tai Sin,Tung Tau (II) Estate On Tung House Jade Palace Chinese Restaurant (non-residential),03/09/2020,4855
Wong Tai Sin,Tung Wui Estate Wui Chi House (non-residential),03/09/2020,4855
Sham Shui Po,83B-C & 85C Broadway Street Fulum Palace (non-residential),03/09/2020,4874
Tsuen Wan,Nina Mall 1 Dim Sum Bar (non-residential),03/09/2020,4874
Yau Tsim Mong,Lippo Sun Plaza (non-residential),03/09/2020,4875
Tuen Mun,H.A.N.D.S Shopping Centre (non-residential),04/09/2020,"4820, 4894"
Yau Tsim Mong,Honland Building (non-residential),04/09/2020,4852
Southern,Chi Fu Landmark (non-residential),04/09/2020,4856
Islands,JoysMark Shopping Centre (non-residential),04/09/2020,4866
Sham Shui Po,Lai Chi Kok Reception Centre (non-residential),04/09/2020,4871
Sham Shui Po,West Kowloon Magistrates' Courts (non-residential),04/09/2020,4871
Kwun Tong,On Kay Commercial Centre Ka Ho Restaurant (non-residential),04/09/2020,4885
